登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
086法登他000001,1,2,謝怜聰,233,0860103,0850106,0850107,9冊10頁,2,13,董事長,財團法人私立逢甲大學,0630520,臺中市西屯區文華路一００號,遵照國家教育政策暨現行法令之規定辦理逢甲大學並謀其健全發展。,由私立逢甲工商學院董事會現有之財產提供,"教育部     中華民國四十八年十一月九日","永   久",2790502509.32,1,0860106,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/O0TIkD-vele1iAZ4Z3SCGEDQFqZ_n7_trAjMUn2shNVpXb-mlmBcHMvHHw4=
086法登他000002,1,2,謝怜聰,280,0860103,0850106,0850107,10冊9頁,1,3,董事長,財團法人私立靜宜大學,0671012,臺中縣沙鹿鎮中棲路二００號,設立大學並謀其健全發展。,天主教美國主顧修女會捐助,"教育部     中華民國四十六年四月一日","永  久",2159430261.00,1,0860106,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/en_iqj4n4EuOELLtci75LtGyWY1jPp8WHXu55GUL3_2xBv5j26ffMDaOUEM=
086法登他000003,1,2,謝怜聰,235,0860106,0860106,0860107,9冊12頁,,0,呂兆宗,財團法人臺灣省臺中縣私立東暉高級中學,0630523,臺中縣東勢鎮東坑街一三四之一號,謀發展教育為目的。,由柯呂瓊英捐助,"臺灣省政府教育廳     中華民國六十三年五月四日","永  久",33400352.00,1,0860106,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/9t0_XM6IFOH7BtX7GK2qP0O3KZtEAVVX0MFybclNYe-vB4ROIVRzITE3XDg=
086法登他000004,1,2,謝怜聰,211,0860108,0860108,0860109,8冊4頁,1,9,羅文貴,財團法人臺灣省臺中縣私立弘文高級中學,0610229,臺中縣潭子鄉中山路三段二二一巷九十六號,以創辦私立弘文高級中學並謀其發展為目的。,董事捐助,"臺灣省政府教育廳     中華民國六十年八月六日","永  久",154697803.40,1,0860108,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2wNegzNItzl6ExmSbc_vb8xzX5zkjqAwwqgsqX-xHzXH68QWlK1ZcU4jeTk=
086法登他000005,1,2,謝怜聰,297,0860109,0850109,0850110,10冊26頁,2,5,董事長,財團法人中華基督教福音浸信會,0691023,臺中市雙十路二段一七九號,以協助在臺灣各地區設立之福音浸信會保管不動產並闡揚基督教福音聖道為宗旨。,由財團法人臺灣省暨臺北市基督教福音浸信會捐贈,"臺灣省政府民政廳     中華民國六十九年六月二十六日","永  久",43139679.00,1,0860109,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/xTNwlwQXjBdQsK06RrHawai0DZoH47CL98qRvguJ9e4igQOkgwZ72QJJp6k=
086法登他000006,1,2,謝怜聰,143,0860110,0860110,0860111,5冊27頁,,0,盧精華,財團法人臺中市私立懷恩國民中學,0520513,臺中市臺中港路三段一八一號,為遵照國家教育政策暨現行教育法令之規定，辦理國民中學並謀其發展。,由東海大學董事會捐助,"臺灣省政府教育廳　   中華民國四十七年八月一日",永　久,11140730.00,1,0860110,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/xqof5UwkyLoJAteRcGF9rmgj9Sc0YR4qLXSiwomC4WrQyhO9BdGHARWBGU4=
086法登他000007,1,2,謝怜聰,119,0860121,0860121,0860122,5冊3頁,2,9,王福來,財團法人臺灣省臺中縣私立明道高級中學,0500301,臺中縣烏日鄉中山路一段四九七號,以舉辦教育事業為目的。,由王福來、汪廣平捐助,"臺灣省政府教育廳     中華民國四十九年七月二十七日","永  久",794591131.00,1,0860121,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ILpTybdKvEJFK7423KGk_IarGw_SFWBigtUl8YHLjEqBO-dhQL-QRxO27TI=
086法登他000008,1,2,謝怜聰,122,0860121,0860121,0860122,5冊6頁,1,7,周汝川,財團法人私立中山醫學院,0500405,臺中市南區大慶街二段一一三號,為創辦醫學教育，養成醫學專門人材為目的。,由周汝川等捐助,"教育部　 中華民國五十一年五月二十八日　(51)高字第七二五一號","永  久",2395554094.56,1,0860121,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EivwPT24m8t90jiHsrB2DIJ0g-viQwfG33DCdPoQTCJZQP4EnVOrehnIv3A=
086法登他000009,1,2,謝怜聰,104,0860124,0860124,0860125,4冊18頁,1,0,董事長,財團法人臺中市私立慈光圖書館,0461005,臺中市中區柳川西路三段十二號,復興中華文化，增進國民知識，發揚佛教大乘精神輔翊我國固有道德，辦理社會教育、兒童福利、文教公益救濟慈善事業，助成社會淳厚風俗為目的。,由李炳南老師以及許克綏、朱炎煌等居士共同發起捐助。,"臺中市政府   中華民國四十六年九月六日","永  久",185981564.00,1,0860124,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sdTDOjo1i9G29YB8y18fk3EPb9SJ37vFCzylOpJEPSChfICQhqtDL9ZkWOU=
086法登他000010,1,2,謝怜聰,130,0860130,0860130,0860131,5冊14頁,,0,董事長,財團法人臺灣省臺中縣私立明臺高級家事商業職業學校,0500818,臺中縣霧峰鄉萊園路九十一號,為遵照國家政策暨現行教育法令之規定辦理中等學校並謀其發展。,由林攀龍等捐助,"臺灣省政府教育廳      中華民國三十九年八月四日","永  久",144877034.10,1,0860130,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-Yx0KALU3IdMIRKMVnPFLjStFfZ8DZOtmg8v7048CzfFr2f_2cYv4wldi4g=
