登記案號,序號,職稱,姓名
086法登他000001,1,董事長,黃光匡
086法登他000001,2,"董  事",馮定國
086法登他000001,3,"董  事",黃正義
086法登他000001,4,"董  事",林玉英
086法登他000001,5,"董  事",李嶸崢
086法登他000001,6,"董  事",馮定亞
086法登他000001,7,"董  事","李  治"
086法登他000001,8,"董  事",陳新興
086法登他000001,9,"董  事",黃正信
086法登他000001,10,"董  事",鄭金寶
086法登他000001,11,"董  事",蕭啟愚
086法登他000001,12,"董  事",黃大受
086法登他000001,13,"董  事",趙志孔
086法登他000002,1,董事長,劉俊秀
086法登他000002,2,"董  事",盧修一
086法登他000002,3,"董  事",林濁水
086法登他000002,4,"董  事",朱義旭
086法登他000002,5,"董  事",李文忠
086法登他000002,6,"董  事",賴勁麟
086法登他000002,7,"董  事",陳世榮
086法登他000002,8,"董  事",朱永惠
086法登他000002,9,"董  事",蕭貫譽
086法登他000002,10,"董  事",王秋森
086法登他000002,11,"董  事",林意楨
086法登他000003,1,董事長,鄭森棨
086法登他000003,2,"董  事",顏澤滋
086法登他000003,3,"董  事","李  荷"
086法登他000003,4,"董  事",張昭泰
086法登他000003,5,"董  事",馬志欽
086法登他000003,6,"董  事",周談輝
086法登他000003,7,"董  事",陳文龍
086法登他000003,8,"董  事",石玉光
086法登他000003,9,"董  事","曹  康"
086法登他000003,10,"董  事","林  樸"
086法登他000003,11,"董  事",黃營杉
086法登他000003,12,"董  事","洪  立"
086法登他000003,13,"董  事",高強華
086法登他000004,1,董事長,徐有庠
086法登他000004,2,"董  事",宋作楠
086法登他000004,3,"董  事",虞兆中
086法登他000004,4,"董  事",徐旭東
086法登他000004,5,"董  事",徐旭時
086法登他000004,6,"董  事",江兆申
086法登他000004,7,"董  事",徐旭松
086法登他000004,8,"董  事",席家宜
086法登他000004,9,"董  事",黃應沖
086法登他000004,10,"董  事",楊明德
086法登他000004,11,"董  事",薛昌明
086法登他000004,12,"董  事",周維崑
086法登他000004,13,"董  事",鄭澄宇
086法登他000004,14,"董  事",劉廣定
086法登他000004,15,"董  事",謝同鎰
086法登他000005,1,理事長,陳圓光
086法登他000005,2,"理  事",莊祥裕
086法登他000005,3,"理  事",陳國寅
086法登他000005,4,"理  事",林任展
086法登他000005,5,"理  事",莊祥欽
086法登他000005,6,"理  事",劉進興
086法登他000005,7,"理  事",陳國輝
086法登他000005,8,"理  事",黃添丁
086法登他000005,9,"理  事",陳清潔
086法登他000005,10,"理  事",鄭勝彥
086法登他000005,11,"理  事",林棋廉
086法登他000005,12,"理  事",邱永偕
086法登他000005,13,"理  事",李子林
086法登他000005,14,"理  事",林金福
086法登他000005,15,"理  事",許明雄
086法登他000005,16,常務監事,翁文達
086法登他000005,17,"監  事",陳國蓮
086法登他000005,18,"監  事",陳照盛
086法登他000005,19,"監  事",張炳南
086法登他000005,20,"監  事",蘇明旭
086法登他000006,1,董事長,張春申
086法登他000006,2,"董  事",張宇恭
086法登他000006,3,"董  事",蔡紹謙
086法登他000006,4,"董  事",朱恩榮
086法登他000006,5,"董  事",趙振靖
086法登他000006,6,"董  事",嚴任吉
086法登他000006,7,"董  事",陳開元
086法登他000006,8,"董  事",程正平
086法登他000006,9,"董  事",王敬弘
086法登他000006,10,"董  事",李當富
086法登他000006,11,"董  事",陸達誠
086法登他000007,1,董事長,趙愷政
086法登他000007,2,"董  事",趙沛明
086法登他000007,3,"董  事",林蔚山
086法登他000007,4,"董  事",任克重
086法登他000007,5,"董  事",梁開天
086法登他000007,6,"董  事",周幼松
086法登他000007,7,"董  事",江浩華
086法登他000007,8,"董  事",龔維寧
086法登他000007,9,"董  事",李常井
086法登他000007,10,"董  事",張伯英
086法登他000007,11,"董  事",趙可南
086法登他000008,1,董事長,林子畏
086法登他000008,2,副董事長,徐風楷
086法登他000008,3,"董  事",黃春榜
086法登他000008,4,"董  事",林衡道
086法登他000008,5,"董  事",邱榮隆
086法登他000008,6,"董  事",林信成
086法登他000008,7,"董  事",林瀚東
086法登他000008,8,"董  事",徐雨壽
086法登他000008,9,"董  事",朱茂陽
086法登他000008,10,"董  事",江欽銘
086法登他000008,11,"董  事",李煌懋
086法登他000008,12,"董  事",陳騰龍
086法登他000008,13,"董  事",許永河
086法登他000008,14,"董  事","林  樸"
086法登他000008,15,"董  事",林學淵
086法登他000009,1,董事長,張天鋆
086法登他000009,2,"董  事",湯建中
086法登他000009,3,"董  事","潘  武"
086法登他000009,4,"董  事",楊繼修
086法登他000009,5,"董  事",吳冰生
086法登他000009,6,"董  事",董瑞林
086法登他000009,7,"董  事",陳榮讚
086法登他000009,8,"董  事",丁紹忠
086法登他000009,9,"董  事",于茂生
086法登他000009,10,"董  事",葉金成
086法登他000009,11,"董  事","張  賜"
086法登他000009,12,"董  事",黃銀千
086法登他000009,13,"董  事",梁期遠
086法登他000009,14,"董  事",林月雲
086法登他000009,15,"董  事",吳善江
086法登他000009,16,"董  事",曹思齊
086法登他000009,17,"董  事",王富茂
086法登他000010,1,董事長,丘棣華
086法登他000010,2,"董  事",丘寧世
086法登他000010,3,"董  事",王平世
086法登他000010,4,"董  事",王燕怡
086法登他000010,5,"董  事",黃麗詠
086法登他000010,6,"董  事",楊玉青
086法登他000010,7,"董  事",何允聰
086法登他000010,8,"董  事",丘學雄
086法登他000010,9,"董  事",關子京
086法登他000010,10,"董  事",牛正慶
086法登他000010,11,"董  事",丘應模
086法登他000010,12,"董  事",趙維良
086法登他000010,13,"董  事",沈夢珠
086法登他000011,1,董事長,盛平麟
086法登他000011,2,"董  事",盛天麟
086法登他000011,3,"董  事",毛葛苓
086法登他000011,4,"董  事",毛漢光
086法登他000011,5,"董  事",熊曾潤
086法登他000011,6,"董  事",俞文英
086法登他000011,7,"董  事",楊先基
086法登他000011,8,"董  事",梁麗祝
086法登他000011,9,"董  事","陳  祥"
086法登他000012,1,董事長,林堉璘
086法登他000012,2,常務董事,林謝罕見
086法登他000012,3,常務董事,林榮三
086法登他000012,4,常務董事,陳萬富
086法登他000012,5,常務董事,李林說
086法登他000012,6,"董  事","林  萬"
086法登他000012,7,"董  事",林得成
086法登他000012,8,"董  事",杜明福
086法登他000012,9,"董  事",林阿仁
086法登他000012,10,"董  事",林慶福
086法登他000012,11,"董  事",李宗清
086法登他000012,12,"董  事",莊隆文
086法登他000012,13,"董  事",陳安邦
086法登他000012,14,"董  事",林鎮海
086法登他000012,15,"董  事",李玉泉
086法登他000013,1,理事長,李舜興
086法登他000013,2,常務理事,張鄔如鳳
086法登他000013,3,常務理事,郭寶冠
086法登他000013,4,常務理事,鍾珍珠
086法登他000013,5,常務理事,朱惠娜
086法登他000013,6,"理  事",徐榮華
086法登他000013,7,"理  事",李紹攸
086法登他000013,8,"理  事",鄭瑞烘
086法登他000013,9,"理  事",黃綉賢
086法登他000013,10,"理  事",吳景森
086法登他000013,11,"理  事",游春松
086法登他000013,12,"理  事",楊陳麗珠
086法登他000013,13,"理  事",高俊彥
086法登他000013,14,"理  事","周  成"
086法登他000013,15,"理  事",張素元
086法登他000013,16,常務監事,蔡寶鳳
086法登他000013,17,"監  事",范錫杉
086法登他000013,18,"監  事",游玉鳳
086法登他000013,19,"監  事",王謝月霞
086法登他000013,20,"監  事",張秋月
086法登他000014,1,董事長,白永傳
086法登他000014,2,常務董事,楊德壽
086法登他000014,3,常務董事,"淨  良"
086法登他000014,4,常務董事,連勝彥
086法登他000014,5,常務董事,薛照明
086法登他000014,6,"董  事",黃昭元
086法登他000014,7,"董  事",余聲鐘
086法登他000014,8,"董  事",苗素芳
086法登他000014,9,"董  事",陳兩傳
086法登他000014,10,"董  事",王毓財
086法登他000014,11,"董  事",張漢東
086法登他000014,12,"董  事",許永河
086法登他000014,13,"董  事",林愷陞
086法登他000014,14,"董  事",李茂盛
086法登他000014,15,"董  事",李騰輝
086法登他000015,1,董事長,王強華
086法登他000015,2,"董  事",徐卿玉
086法登他000015,3,"董  事",傅敦枝
086法登他000015,4,"董  事",林慶福
086法登他000015,5,"董  事",王一琪
086法登他000015,6,"董  事",葉劉玉珍
086法登他000015,7,"董  事",簡德源
086法登他000015,8,"董  事",高文良
086法登他000015,9,"董  事",李溪
086法登他000015,10,"董  事",石昌生
086法登他000015,11,"董  事",趙金寶
086法登他000016,1,董事長,鄭宗太山
086法登他000016,2,"董  事",簡茂發
086法登他000016,3,"董  事",盧欽銘
086法登他000016,4,"董  事",郭生玉
086法登他000016,5,"董  事",張振盛
086法登他000016,6,"董  事","張  修"
086法登他000016,7,"董  事",鄭宗顯
086法登他000016,8,"董  事",陳照郎
086法登他000016,9,"董  事",洪榮洲
086法登他000016,10,"董  事",王榮炎
086法登他000016,11,"董  事",莊良吉
086法登他000017,1,董事長,駱趙廣貞
086法登他000017,2,"董  事",金桂生
086法登他000017,3,"董  事",徐旭松
086法登他000017,4,"董  事",張文彬
086法登他000017,5,"董  事",黃書麟
086法登他000017,6,"董  事",蔡新桂
086法登他000017,7,"董  事",駱傳英
086法登他000017,8,"董  事",周雲子
086法登他000017,9,"董  事",齊信裕
086法登他000018,1,董事長,鄭義燕
086法登他000018,2,"董  事",張增業
086法登他000018,3,"董  事",蕭文賜
086法登他000018,4,"董  事",杜宜靜
086法登他000018,5,"董  事",張寶玲
086法登他000018,6,"董  事",謝玉琴
086法登他000018,7,"董  事",康素嘉
086法登他000018,8,"董  事",林德善
086法登他000018,9,"董  事",張國鑫
086法登他000019,1,董事長,洪吉春
086法登他000019,2,"董  事",許再恩
086法登他000019,3,"董  事",鄭逢時
086法登他000019,4,"董  事",莊隆昌
086法登他000019,5,"董  事",劉炳發
086法登他000019,6,"董  事",劉炳華
086法登他000019,7,"董  事",秦金生
086法登他000019,8,"董  事",林新欽
086法登他000019,9,"董  事",溫鎮泉
086法登他000019,10,"董  事",張義明
086法登他000019,11,"董  事",蔡家福
086法登他000019,12,"董  事",劉寬明
086法登他000019,13,"董  事",林溫正
086法登他000019,14,"董  事",許顯榮
086法登他000019,15,"董  事",周新傳
086法登他000019,16,"董  事",邱明政
086法登他000019,17,"董  事",顧建東
086法登他000019,18,"董  事",林忠正
086法登他000019,19,"董  事",高銘俊
086法登他000019,20,"董  事",羅慧明
086法登他000019,21,"董  事",卓甫見
086法登他000019,22,常務監事,呂進福
086法登他000019,23,"監  事",黃林玲玲
086法登他000019,24,"監  事",簡穎文
086法登他000019,25,"監  事",吳家良
086法登他000019,26,"監  事",王淑慧
086法登他000020,1,董事長,陳正佳
086法登他000020,2,"董  事",洪見文
086法登他000020,3,"董  事","葉  禮"
