登記案號,序號,職稱,姓名
050法登000013,1,董事長,許憶申
050法登000013,2,"董  事",鍾維華
050法登000013,3,"董  事",蘇履中
050法登000013,4,"董  事",劉宗楠
050法登000013,5,"董  事",汪松年
050法登000013,6,"董  事",李樹基
050法登000013,7,"董  事",劉榮
050法登000054,1,董事長,陳海永
050法登000054,2,"董  事",林金生
050法登000054,3,"董  事",吳開興
050法登000054,4,"董  事",王玄政
050法登000054,5,"董  事",黃象
050法登000054,6,"董  事",蔡科
050法登000054,7,"董  事",林庭訓
050法登000054,8,"董  事",吳威禮
050法登000054,9,"董  事",蔡榮智
050法登000054,10,"董  事",黃文斗
050法登000054,11,"董  事",余仁配
050法登000054,12,"董  事",陳全課
050法登000054,13,"董  事",許秋田
050法登000054,14,"董  事",吳修量
