登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
095法登他000001,2,2,陳錦鑾,381,0950103,0950104,0950104,7冊177頁,2,6,林同志,社團法人高雄市亞鐳慈善會,0831029,高雄市鼓山區明倫路148號3樓,本會以慈善救濟、公益服務、增進社會福利、倡導倫理道德為宗旨。,捐助及會員會費,高雄市政府社會局83年8月18日社局字19940號,永久,600000.00,1,0950104,0950807,0950112,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/PN_t9sUY-yrpE4jyKZTggw0ucerR-JlLeJLzk71L6A_ti1dTkpFqs_afPpA=
095法登他000002,1,2,陳錦鑾,534,0950105,0950106,0950106,10冊179頁,1,2,李靖國,財團法人李瑞標紀念教育基金會,0870729,高雄市苓雅區四維二路118號11樓,本會以獎勵新聞教育推廣文化活動為宗旨。,由李瑞標家屬捐助,高雄市政府教育局、民國87年7月23日,永久,21861966.00,1,0950106,0950807,0950116,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EkYqxP8MMKFLLF51yACwb-Psv7zFxglCahxVSvJWLMNj54gT4SPMh9l-RMI=
095法登他000003,1,2,陳錦鑾,304,0950106,0950106,0950106,6冊73頁,1,5,蘇進源,財團法人高雄縣鳳甲國民中學教育發展基金會,0820526,高雄縣鳳山市輜汽路300號,協助學校改善環境，發展校務，獎勵教師研究進修，促進學生敦品勵學，進而提昇社會文化為宗旨,捐助及高雄縣政府補助,高雄縣政府、民國82年4月27日,永久,6360000.00,1,0950106,0950807,0950117,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sg7h5uaUlhz9C6bIyJdL6NdAZVRPN0dLmB-W1ZetADnDUcKUjwr8A8-MBt4=
095法登他000004,1,2,陳錦鑾,332,0950111,0950111,0950111,6冊185頁,1,8,黃金葉,財團法人烏林國民小學教育發展基金會,0821214,高雄縣仁武鄉烏林村林森巷23號,協助烏林國小改善環境、發展校務，獎勵教師進修、促進學生敦品勵學為目的。,高雄縣政府補助及本校校友、家長、公司行號及熱心教育人士捐助,高雄縣政府、民國82年11月22日82府教社字第198344號,永久,2000000.00,1,0950111,0950807,0950213,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k4h2wAYCgY7XdiDCr51faQ5EpXbHQxH90c8MofMnX8_EkJJ8CcQvPPZJfgY=
095法登他000005,1,2,陳錦鑾,771,0950112,0950112,0950112,13冊133頁,2,2,蕭鉉晁,財團法人吉祥臻社會福利事業基金會,0911213,高雄市鼓山區文忠路86號,以舉辦或捐助社會福利慈善事業為目的,由蕭鉉晁等捐助,高雄市政府社會局、民國91年11月14日高市社局二字第0910030740號函,永久,10000000.00,1,0950112,0950807,0950124,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/B2He_EwNvMjUQiOQL-fPb4atTpYsZ6GLpORjxWiLGgWzr2ZYd_UEZn_7cuY=
095法登他000006,1,2,陳錦鑾,17,0950112,0950117,0950117,1冊21頁,2,14,呂芳瑛,財團法人台灣省高雄縣私立中山高級工商職業學校,0490826,高雄縣大寮鄉正氣路79號,"創辦私立中山高級工商職業學校，藉以永久紀念  國父中山先生，並協助政府授與青年生產知識與技能，以養成從事職業之能力及目的。",由蔡來福等捐助,台灣省政府教育廳、中華民國46年9月21日。,永久,790232000.00,1,0950117,0950807,0950119,,,,,,,,,,,董事及財產總額變更登記。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/sQpAseaKv0o5BjshPVpoU3ZXPMonSHvfhgrJpZYeUdLVyyWKB3Rg8bI8bw==
095法登他000007,1,2,陳錦鑾,775,0950116,0950116,0950116,13冊149頁,2,2,曹世亮,財團法人高雄縣私立康和社會福利慈善事業基金會,0920127,高雄縣大寮鄉大發工業區建民街16號,本會以舉辦社會福利慈善事業為宗旨。,由曹世亮捐助,高雄縣政府、民國92年1月15日府社長字第0920009959號函,永久,10000000.00,1,0950116,0950807,0950125,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FJixAtPTV_orJUNIhDuxc_xi_Zu6odkidebp0B3qwyjI1i3JXf_o2Akw4VQ=
095法登他000008,2,2,陳錦鑾,698,0950117,0950118,0950118,12冊241頁,2,10,許吳鳳雀,社團法人高雄縣褓姆協會,0900501,高雄縣鳳山市國富路34號,"１、提昇褓姆素質。２、增進褓姆專業知識。 ３、家庭托育轉介服務。４、增進婦幼福利。",會費及捐助,高雄縣政府、民國94年4月26日90府社行字第71021號函,永久,410644.00,1,0950118,0950807,0950123,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/izG28-Trf22e0_PfQOU074FHIOwv05CfZmyaxZcHYlKRQat4vG_xAuOte2g=
095法登他000009,1,2,陳錦鑾,393,0950118,0950119,0950119,8冊21頁,1,3,單國璽,財團法人天主教社會慈善福利基金會,0840421,高雄市苓雅區五福三路149之1號,為依照天主教教義基督之博愛濟世精神發展社會福利之慈善救濟。,由天主教會高雄教區等捐助,高雄市政府社會局84年3月21日高市社局二字第7015號,永久,10000000.00,1,0950119,0950807,0950210,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/dw2HecCHMH8C-YiPrlofnSd5z6Z07bsbruXg90PsuO2VaECbT9RY4KC96vA=
095法登他000010,1,2,陳錦鑾,76,0950118,0950123,0950123,3冊20頁,1,12,林朝家,財團法人樹人醫護管理專科學校,0600622,高雄縣路竹鄉環球路452號,遵照國家教育政策暨現行教育法令之規定，辦理醫護管理專科學校,林貴木等捐助,台灣省政府教育廳、民國58年8月25日（89年7月20日改制為專科學校變更為教育部）,永久,1080154202.00,1,0950123,0950807,0950206,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/DYbUfkcP74hl0U5Mfz40tYL5VnT1hMdaeDRq_qSdwwwg5PrxvLAJ3Ponfg==
