登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
083法登000001,2,2,林文鼎,140,0830111,0830111,0830112,5冊53頁,2,2,吳樹桑,社團法人台北縣道教會,0810903,台北縣板橋市漢生東路三三九號四樓,"以闡揚教義、研習道學、加強道教進修活動等服務社會、弘教護國、        促進世界大同為宗旨。",會費收入及捐助購置,八十一年七月十日台北縣政府北府社一換字第二三二五四二號立案證書,永久,8353963.00,1,0830111,,,,,,,,,,,,,,,,,
083法登000002,2,1,林文鼎,141,0830118,0830118,0830119,5冊55頁,,0,黃邱好,社團法人台北縣三重市一竹慈善會,0830118,台北縣三重市慈愛街六十八號,"以﹁人饑己饑，人溺己溺﹂之精神，集腋成裘，及時救援社會上孤苦        急難者，讓溫暖與愛心充滿人間為宗旨。",入會費、會費及其他收入。,台北縣政府八十一年十一月七日北府社一字第三八五００五號函,永久,861122.00,1,0830118,,,,,,,,,,,,,,,,,
083法登000003,1,2,林文鼎,142,0830121,0830121,0830122,5冊57頁,1,0,吳敬芳,財團法人台灣省台北縣竹林山觀音寺,0480930,台北縣林口鄉竹林路三二五號,"以宣揚佛教道德，敦睦信徒友誼，增進福利，樹立團結互助精神，並        興辦慈善育英公益事業為宗旨。",由信徒捐助,四十八年九月十六日台北縣政府北府德民一字第一三三三０號,永久,1774358802.00,1,0830121,,,,,,,,,,,,,,,,,
083法登000004,1,1,林文鼎,143,0830126,0830126,0830127,5冊59頁,,0,尤進興,財團法人樹春文教基金會,0830126,台北縣板橋市公園街三十四巷十二號三樓,以協助推廣教育活動，提倡社會優良風氣為宗旨。,由尤進興等六人捐助,八十二年十二月二十七日台北縣政府北府教三字第四七五０八六號,永久,2600000.00,1,0830126,,,,,,,,,,,,,,,,,
083法登000005,1,2,林文鼎,23,0830222,0830222,0830223,1冊45頁,2,4,鄧信哲,財團法人台灣省台北縣板橋基督榮光教會,0751009,台北縣板橋市成功路三十七號,以傳揚基督引人歸主，舉辦慈善育英公益事業為宗旨。,由教友捐助,七十五年六月九日台北縣政府北府民二字第一八０四四０號函,永久,2679700.00,1,0830222,,,,,,,,,,,,,董事印鑑。,,,,
083法登000007,1,1,林文鼎,144,0830312,0830312,0830314,6冊1頁,,0,"許  伯",財團法人文同文教基金會,0830312,台北縣板橋市光正街二十巷一弄四號之三,獎助幼教研究，落實婦幼權益，普及書香文化，充實人文精神為宗旨,由許伯等十二人捐助,八十三年二月二十三日台北縣政府北府教三字第０六二二七一號函,永久,2800000.00,1,0830312,,,,,,,,,,,,,,,,,
083法登000008,1,2,林文鼎,17,0830319,0830319,0830321,1冊33頁,2,2,孟慶霖,財團法人台灣省台北縣基督教莒光教會,0740807,台北縣中和市德光路十五巷二十二號一樓,"以耶穌博愛救世之精神，在台北縣內傳揚基督教義，辦理社會公益慈        善教育事業為宗旨。",由教友捐助,七十四年五月十六日台北縣政府北府民二字第一四二一一九號,永久,4403100.00,1,0830319,,,,,,,,,,,,,,,,,
083法登000009,1,1,林文鼎,145,0830324,0830324,0830325,6冊3頁,,0,林延男,財團法人省立泰山高級中學文教基金會,0830324,台北縣泰山鄉明志路一段四二二號,"以協助省立泰山高級中學改善環境，發展校務，獎勵教師研究進修，        促進學生敦品勵學為宗旨。",由熱心教育人士捐助,八十三年三月十七日台北縣政府北府教三字第０八九０三三號函,永久,3200000.00,1,0830324,,,,,,,,,,,,,,,,,
083法登000010,1,1,林文鼎,146,0830328,0830328,0830330,6冊5頁,,0,童裕民,財團法人台灣省台北縣基督教浮洲浸信會,0830328,台北縣板橋市大觀路二段一五三巷四十五號,"以接受耶穌基督為救主，聖經教訓為準則之信仰，本著耶穌救世之精        神，傳揚福音，建立教會，辦理社會公益或慈善事業為宗旨。",由財團法人美南浸信會台北市事務所捐助,八十三年三月九日台北縣政府北府民二字第０八一二六四號函,永久,19950000.00,1,0830328,,,,,,,,,,,,,,,,,
083法登000011,1,2,林文鼎,102,0830401,0830401,0830402,4冊37頁,1,0,連勝彥,財團法人清傳商職文教基金會,0820413,台北縣三重市五谷王北街一四一巷一號,"以協助清傳商職學校改善環境，發展校務，獎勵教師研究進修，促進        學生敦品勵學為宗旨。",由連清傳等人捐助,台北縣政府八十二年四月八日北府教三字第一一七二八五號函,永久,4200000.00,1,0830401,,,,,,,,,,,,,,,,,
083法登000012,1,2,林文鼎,38,0830412,0830412,0830413,2冊27頁,2,2,周志宇,財團法人台灣省台北縣周可安大宗祠,0780222,台北縣板橋市民權路二０二巷十五弄四之二號,以宏揚祖德，興辦社會公益，慈善事業為目的。,由周金鎮、周有生、周志宇等捐助。,七十八年二月十一日台北縣政府北府民二字第三九九八七號函,永久,22323346.00,1,0830412,,,,,,,,,,,,,董事印鑑。,,,,
083法登000013,1,1,林文鼎,147,0830413,0830413,0830414,6冊7頁,,0,邱幸香,財團法人謝聰敏文教基金會,0830413,台北縣板橋市大仁街一一０巷十二弄四號五樓,"以獎助學術文化教育事業，培養國內各項優秀人才，提高社會法治風        氣，促進全縣生活品質為宗旨。",由謝聰敏捐助,台北縣政府八十三年四月一日北府教三字第一一０八一二號函,永久,2000000.00,1,0830413,,,,,,,,,,,,,,,,,
083法登000014,1,2,林文鼎,44,0830426,0830426,0820427,2冊39頁,1,1,李育軒,財團法人國防管理學院校友文教基金會,0790113,台北縣中和市民安街一五０號,"以倡導管理科學之學術研究與發展，帶動學術研究之風氣，增進教育        之效果為目的。",由社會熱心人士捐助,教育部七十八年十二月二十八日台七八社字第六四一九七號函,永久,4350000.00,1,0830426,,,,,,,,,,,,,,,,,
083法登000015,1,1,林文鼎,148,0830427,0830427,0830428,6冊9頁,,0,黃敏雄,財團法人快樂陽光文教基金會,0830427,台北縣永和市智光街一一六號二樓,以推廣社會教育，發揚固有文化，推展當代人本教育為宗旨。,由黃敏雄等捐助,八十三年四月二十一日台北縣政府北府教三字第一三三八一七號函,永久,2000000.00,1,0830427,,,,,,,,,,,,,,,,,
083法登000017,1,2,林文鼎,95,0830504,0830504,0830505,4冊23頁,2,2,陳幸浩,財團法人台灣省台北縣台北基督徒永和禮拜堂,0600306,台北縣永和市中山路一段二一五號五樓,"以使信徒獲得靈性長進及廣傳耶穌基督救世福音，並推動社會福利及        公益事業為目的。",由教友捐助,台北縣政府六十年一月二十五日北府民一字第一三二０三號函,永久,15060238.00,1,0830504,,,,,,,,,,,,,,,,,
083法登000018,1,2,林文鼎,98,0830512,0830512,0830513,4冊29頁,1,0,林義重,財團法人台北縣立三重國民中學教育發展基金會,0820211,台北縣三重市集美街二一二號,以獎助品學兼優或家境清寒學生及協助學校教育發展為目的。,由林義重等捐助,台北縣政府八十一年十二月八日北府教三字第四二一七二七號函,永久,6000000.00,1,0830512,,,,,,,,,,,,,,,,,
083法登000019,2,1,林文鼎,149,0830516,0830516,0830517,6冊11頁,,0,陳仁德,社團法人國際獅子會中華民國總會台灣省台北縣頭前獅子會,0830516,台北縣新莊市化成路三二五巷十六號,"以發揚人類博愛互助精神，增進國際間友好關係，尊重自由啟發智慧        ，提倡社會福利，促進國家安全為目的。",會員入會費、常年會費及其他捐款。,台北縣政府七十九年十二月二十六日北府社一字第三七一００二號函,永久,767341.00,1,0830516,,,,,,,,,,,,,,,,,
083法登000020,1,2,林文鼎,87,0830520,0830520,0830521,4冊7頁,2,2,趙愷政,財團法人私立華夏工業專科學校,0541116,台北縣中和市華新街一一一號,為遵照國家教育政策暨現行教育法令之規定辦理專科學校，並謀其健全發展。,由創辦人及董事捐助,五十五年一月十九日教育部55高字第０八一九號令,永久,473823266.00,1,0830520,,,,,,,,,,,,,,,,,
083法登000021,1,2,林文鼎,89,0830520,0830520,0830521,4冊11頁,1,0,梁秉權,財團法人私立致理商業專科學校,0540922,台北縣板橋市文化路一段三一三號,為供應私立致理商業專科學校所需一切設備及經費,由創辦人及董事會捐助,五十四年九月二日教育部54高字第一三六二五號令,永久,369669162.00,1,0830520,,,,,,,,,,,,,,,,,
083法登000022,1,2,林文鼎,96,0830524,0830524,0830525,4冊25頁,1,0,林慶福,財團法人台北縣樹林健民協會,0390927,台北縣樹林鎮育英街一三五巷五十二號,以舉辦輔助地方之教育文化、協助保健衛生、鼓勵增產為目的。,由[樹林信用、利用、購買、販賣、組合]捐助,台北縣政府三十九年五月二十五日辰謙北府三字第一三七號,永久,324199343.00,1,0830524,,,,,,,,,,,,,,,,,
083法登000023,1,2,林文鼎,150,0830525,0830525,0830526,6冊13頁,2,2,林謝罕見,財團法人私立四海工商專科學校,0600827,台北縣土城市青雲路三八０巷一號,"為遵照國家教育政策暨現行教育法令之規定，辦理工商專科學校，並        謀其健全發展。",由李景德等共同捐助,六十年四月二日教育部台六０專字第七五五二號函,永久,411739289.00,1,0830525,,,,,,,,,,,,,,,,,
083法登000024,1,2,林文鼎,151,0830528,0830528,0830530,6冊15頁,2,2,高王發,財團法人台灣省台北縣祭祀公業高時周,0620515,台北縣中和市景平路四十二之一號,以宣揚祖德，敦睦宗誼，團結互助，鞏固公業並圖社會公益為宗旨。,由高火鍊等十八人捐助,六十二年五月十日台北縣政府北府民一字第五六二九０號函,永久,908453.40,1,0830528,,,,,,,,,,,,,,,,,
083法登000025,1,2,林文鼎,32,0830528,0830528,0830530,2冊15頁,2,3,宋孝興,財團法人台灣省台北縣鏡江宋氏宗祠,0761229,台北縣蘆洲鄉和平路十九號五樓,以所有財產及孳息專作公益事業為目的,由宋玉水等七人捐助,台北縣政府七十六年十二月二日北府民二字第三六八四一六號函,永久,1873927.40,1,0830528,,,,,,,,,,,,,董監事印鑑。,,,,
083法登000026,1,2,林文鼎,49,0830603,0830603,0830604,2冊49頁,2,2,金培華,財團法人台灣省台北縣台北基督徒雙和禮拜堂,0790622,台北縣永和市中山路一段二一五號五樓,"以使教徒獲得靈性長進及廣傳耶穌基督救世福音，並推動社會福利及        公益事業為宗旨。",由教友捐助,台北縣政府七十九年六月一日北府民二字第一五三八五八號函,永久,6914928.00,1,0830603,,,,,,,,,,,,,董事印鑑。,,,,
083法登000027,1,2,林文鼎,152,0830606,0830606,0830607,6冊17頁,1,0,方朱憲,財團法人兒童藝術文教基金會,0781115,台北縣板橋市民享街六十五巷五之七號一樓,以發展兒童藝術教育為宗旨,由蘇振明等二十四人捐助,教育部七十八年十一月四日台七八社字第五四三四八號函,永久,1020000.00,1,0830606,,,,,,,,,,,,,,,,,
083法登000028,1,2,林文鼎,55,0830607,0830607,0830608,3冊3頁,1,1,張文華,財團法人安康長青文教基金會,0791006,台北縣永和市自由街五十五號七樓,以提昇社會生活品質，促進良好社會風氣為宗旨。,由薛頌留等捐助,台北縣政府七十九年八月二十八日北府教三字第二四四三五五號函,永久,2000000.00,1,0830607,,,,,,,,,,,,,,,,,
