登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
081法登000001,1,2,許金樹,22,0810122,0810122,0810122,3冊1頁,,0,董事長,財團法人北港朝天宮,0630402,雲林縣北港鎮中山路一七八號,以宣揚聖母懿德，倡行尊聖教道，興辦公益事業促進社會福利為目的。,募捐,臺灣省政府民政廳，63年1月16日，民甲字第1642號函,永久,17919637.00,1,0810122,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/_YBAoRRnw5cZCj4yJaC2wSXYW7QVh-_n6xdjaeA3Nq5StwV1Cg4y6A==
081法登000002,1,1,許金樹,62,0810331,0810331,0810331,3冊42頁,,0,董事長,財團法人虎尾基督徒聚會處,0810331,雲林縣虎尾鎮文化路七十號,傳揚基督教義,由聚會教友自由奉獻,雲林縣政府80年5月9日民禮字第46137號,永久,2000000.00,1,0810331,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/q8PijnYfBel8TtGL9oTn13Eqw9aCPsVLPQ0D8VJVJTs-f8-swYPsGQ==
081法登000003,1,2,許金樹,24,0810320,0810320,0810320,2冊16頁,,0,董事長,財團法人雲林縣廖元子公育英會,0490223,雲林縣西螺鎮福田里一七０號,舉辦地方公益事業，聯絡各地宗親情誼,元子公財產收益及會員入會費樂捐等,民國四十九年二月十八日(原嘉義地方法院),無期限,5499417.00,1,0810320,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/InVZoggHhfdSoi9E5fS3Kvuh1JWhkCPv0onWNyKSIgqVXGyctKzZBg==
081法登000004,1,1,許金樹,63,0810520,0810520,0810520,3冊43頁,,0,董事長,財團法人私立環球商業專科學校,0810520,斗六市湖山里岩山路八八號,設立學校以教授應用科學與技術，養成實用專業人才,由吳昆明、丁東德、林春文等捐助,教育部81年5月6日台(81)技字第23668號函,永久,167990000.00,1,0810520,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5tZkpv5KaY2sEjYx082TdsM0I4T6fm8Hs83wamjzQJcr3jJgPBGJTA==
081法登000005,1,2,許金樹,39,0810508,0810508,0810508,3冊21頁,,0,董事長,財團法人臺灣省雲林縣西螺基督教會,0731121,雲林縣西螺鎮修文路一三七號,本教會為便利宣揚基督教教義，發揮宗教仁愛精神及興辦社會公益及慈善事業,教徒或有關單位捐助,雲林縣政府73年9月12日(七三)府民禮字第89271號,長期,206200.00,1,0820508,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/dJ2uXTCQ_Vy2qUgZtdMy_L9hp4yKNWVG9LePXgkyUqSWsIiAyCZ2Tg==
081法登000008,1,1,許金樹,64,0810812,0810812,0810812,3冊44頁,,0,董事長,財團法人國立雲林技術學院文教基金會,0810812,斗六市大學路三段一二三號,以獎助國立雲林技術學院師生之教學研究，提升學術與科技水準為宗旨,由社會賢達、工商企業團體及各界熱心教育人士捐助,雲林縣政府81年7月14日八一府教社字第76188號函,永久,2000000.00,1,0810812,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OCYXYIlYc7PToOVarPLQE3Ek1JPzMUtPi3pBaHQ3HzfWyi178cW7Cg==
081法登000010,1,2,許金樹,14,0810826,0810826,0810826,2冊8頁,,0,董事長,財團法人臺灣省雲林縣西螺鎮福興宮,0580116,雲林縣西螺鎮福興里延平路一八０號,以崇祀天上聖母暨觀世音菩薩救世精神護國庇民協助政府推行我國固有道德教化為宗旨,由西螺福興宮基本財產充當為捐助,雲府民行字第64398號令，57年11月4日,長期,395000.00,1,0810826,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/WWHQIRqy7jobXPRugTWNOcq9L8v-X0WQn7VovnF3qLCUooTSSdRblQ==
081法登000011,1,2,許金樹,31,0811021,0811021,0811021,3冊13頁,,0,董事長,財團法人雲林縣後備軍人獎學基金會,0690317,雲林縣斗六鎮中正路二一九號,鼓勵優秀後備軍人及子女求學、向上、培育國家英才貢獻社會服務,雲林縣後備軍人捐助,雲林縣政府68年12月13日六八府教國字第98734號,無限期,4021600.00,1,0811021,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/1Ba8FGdbCD1GlRjxoh0vTO6R6ZlHHZWdmAzERqs2pmmmFfpd8lD4AQ==
081法登000012,1,2,許金樹,9,0811110,0811110,0811110,2冊2頁,,0,董事長,財團法人臺灣省雲林縣私立文生高級中學,0560715,雲林縣四湖鄉四湖村十五鄰東湖一六０之一號,辦理教育事業培養健全國民,建校土地係四湖鄉公所永久無條件贈與使用建校基金則由天主教中國遣使會及創辦人周志毅募集,教育廳教二字37692號函，五十四年六月十一日,長期,7128500.00,1,0811110,0921231,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5hw9QQZe12l7lL26oi7b-KT43C9Lw0vOV1t6zyoMGFqYc-UmUBw9
