登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
079法登000001,1,2,陳文貞,33,0790103,0790104,0790112,4冊1頁,2,6,朱萊蒂,財團法人台灣省基隆市私立培德高級工業家事職業學校,0630501,基隆市培德路七十三號,為遵照國家教育政策暨現行教育法令之規定辦理私立培德高級工業職業學校並謀求發展為目的,由董事會籌集捐助,台灣省政府教育廳六三年三月二三日教三字第二三一二０號,永久無限期,34654258.00,1,0790112,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ic-ZcWMkiCDSAbq-rP8OC99E343djLFQgxf9I4xKWS6vFsj1N0-qWQ==
079法登000002,1,2,陳文貞,19,0790110,0790112,0790117,3冊3頁,2,4,金秀夫,財團法人台灣省基隆市基督教韓國教會,0560614,基隆市中正路五００號,確保教會財產,捐助,基隆市政府五十六年六月六日基府民行字第二二一００號,不定期,3381020.00,1,0790117,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/p56EBpFaWemA4W9ntdrxn0ofCMe0tvWgrNJ22f5AAPRHkLmeaeDiTw==
079法登000004,1,2,陳文貞,3,0790403,0790411,0790413,1冊3頁,2,2,吳壽柏,財團法人台灣基督長老教會中正教會,0451012,基隆市中正區正義路九號,在台灣省基隆市各地傳佈基督教教義，並辦理社會救濟福利及教育事業。,捐助,基隆市政府四十五年九月廿六日(四五)民行團字第零二號　　　　　　,永　久　　,1278400.00,1,0790413,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/suxK9zZoo4C5h-_HE1L39DrUPyZCe6r9kliVh-5HWL97HOxgu3kA
079法登000005,1,1,陳文貞,60,0790507,0790512,0790518,4冊27頁,,0,郭民通,財團法人基隆市私立松柏社會福利慈善事業基金會,0790512,基隆市中山二路二十九號,老人福利服務療養休養扶養等,捐助,基隆市政府七十九年四月卅日七九基府社福字第二四六八０號,永久,12000000.00,1,0790518,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Ph3XMtMnKLcAN4fIrCVYJ7H_uJJgYIWW4tBbphvpQwPX5soAO0dGBw==
079法登000006,1,2,陳文貞,8,0790530,0790626,0790709,1冊8頁,2,2,劉力維,財團法人台灣基督長老教會基隆中山教會,0501225,基隆市中山四路廿九號之一,為宣揚基督教義勸人行善福利社會為目的,由會員自由認捐,基隆市政府七十九年五月十八日七九基府民禮字第二九０三七號,不定期,1157100.00,1,0790709,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/I7-lZoMOlESVnveWhA4OS4hhEouzVl8wpkSPOutD1KAqvGRlnkIH
079法登000007,1,2,陳文貞,7,0790608,0790620,0790623,1冊7頁,2,4,江寶義,財團法人基隆江氏獎助學金基金會,0490312,基隆市仁三路七十四號,為輔助基隆江姓宗親子姪無力就讀及獎勵在校努力學業,由江姓樂捐,基隆市政府七十九年四月廿四日七九基府教社字第二二二六一號,不定期,1678700.00,1,0790623,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Y6Jge1RcOIp2PdHjmVE0kHq11O9AsrXGywlt1uLWzlvZglbqNHkJ
079法登000008,1,2,陳文貞,2,0790614,0790622,0790627,1冊2頁,2,4,林水木,財團法人基隆市私立博愛仁愛之家,0431104,基隆市暖暖區源遠路二五四號,以舉辦並發展社會福利事業為宗旨,捐助及補助,基隆市政府七十九年六月一日七九基府社福字第三二七九四號,不定期,100000000.00,1,0790627,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zpmuurjhChpG0bnnVQilcb0npsHyRMOOEORHOd-we1bLMsVDCG-N
079法登000009,1,2,陳文貞,21,0790703,0790726,0790731,3冊5頁,2,8,"楊  璞",財團法人私立德育護理專科學校,0560623,基隆市復興路三三六號,確保公有財產,捐助,教育部五十六年六月二十日台高字第一０三二二號,"永  久",125716569.00,1,0790731,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YPUoHmoLndegpP9VoxGyUxVqsLXmrHXLBnaIbUj1u9dBlnCIGK4brg==
079法登000012,2,2,黃義豐,53,0790924,0800111,0800118,4冊20頁,2,3,邱建忠,社團法人基隆主普壇管理委員會,0730113,基隆市義二路二０一號,確保財產維護管理運用，並關於各姓宗親會為值年主普，舉辦設壇超渡，放水燈祈求風調雨順，國泰民安等祭典事項,由各姓宗親會捐贈,基隆市政府七十九年八月十七日七九基府社行字第五三九三九號,永久,7769590.00,1,0800118,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fEFPUvyKxU1UZZ5rLiPbLeD_5mGX-J6OcZyFmyyKI2c3qIqaQthnhA==
079法登000014,1,1,李錦美,61,0791109,0791128,0791208,4冊28頁,,0,魏火曜,財團法人中華民國捐血事業基金會,0791128,中華民國捐血事業基金會台北捐血中心基隆捐血站設基隆市信二路二,四一號二樓本會以建立無償供血制度辦理捐供血業務提高醫療用血品質保障病患權益增進國民健康為目的,由中華民國捐血運動協會捐助設立,行政院衛生署七十九年三月五日衛=署醫字第八六一一九二號,永久,573229788.00,1,0791208,0921218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vW6l2kbdy_2ihdy9YPZwk_Jrr6jvAjQ-NLq8AFRwILxSuQAMkWaNMg==
